Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B M	53	0	0	0	0	0	1	0	1	1	4	4	7	11	13	7	4
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B F	87	0	0	0	0	1	0	0	1	0	6	7	13	20	19	11	9
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O M	9	0	0	0	0	0	0	0	0	0	2	1	3	0	1	1	1
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O F	9	0	0	0	0	1	0	1	2	0	1	0	2	0	2	0	0
IV. Endocrine, nutritional and metabolic diseases	TOTAL	4468	0	0	1	6	4	3	2	10	16	64	135	400	820	1057	1031	888
IV. Endocrine, nutritional and metabolic diseases	W M	1574	0	0	1	2	1	2	1	3	2	21	50	151	329	368	372	270
IV. Endocrine, nutritional and metabolic diseases	W F	1434	0	0	0	1	1	1	0	3	5	15	34	94	169	326	361	409
IV. Endocrine, nutritional and metabolic diseases	B M	648	0	0	0	2	1	0	0	2	5	13	29	88	160	156	128	64
IV. Endocrine, nutritional and metabolic diseases	B F	684	0	0	0	1	0	0	1	2	3	13	19	58	135	173	136	129
IV. Endocrine, nutritional and metabolic diseases	O M	71	0	0	0	0	1	0	0	0	1	2	2	4	17	22	17	5
IV. Endocrine, nutritional and metabolic diseases	O F	57	0	0	0	0	0	0	0	0	0	0	1	5	10	12	17	11
V. Mental, Behavioral and Neurodevelopmental disorders	TOTAL	5199	0	0	0	0	0	0	0	2	6	30	57	103	176	384	1280	3014
V. Mental, Behavioral and Neurodevelopmental disorders	W M	1462	0	0	0	0	0	0	0	0	3	13	26	60	90	151	409	699
V. Mental, Behavioral and Neurodevelopmental disorders	W F	2767	0	0	0	0	0	0	0	0	2	8	17	21	43	125	582	1863
V. Mental, Behavioral and Neurodevelopmental disorders	B M	322	0	0	0	0	0	0	0	1	1	5	10	15	29	49	116	93
V. Mental, Behavioral and Neurodevelopmental disorders	B F	572	0	0	0	0	0	0	0	0	0	1	1	6	11	48	148	331
V. Mental, Behavioral and Neurodevelopmental disorders	O M	30	0	0	0	0	0	0	0	0	0	2	3	1	2	3	9	10
V. Mental, Behavioral and Neurodevelopmental disorders	O F	46	0	0	0	0	0	0	0	1	0	1	0	0	1	8	16	18
VI. Diseases of the nervous system	TOTAL	6976	0	0	2	10	8	7	10	14	15	39	65	201	382	865	2037	3237
VI. Diseases of the nervous system	W M	2237	0	0	0	3	0	4	3	2	7	15	16	75	163	370	785	790
VI. Diseases of the nervous system	W F	3551	0	0	2	3	5	0	3	5	3	13	22	60	128	317	938	1986
VI. Diseases of the nervous system	B M	373	0	0	0	1	0	1	3	4	4	5	14	30	34	73	106	96
VI. Diseases of the nervous system	B F	683	0	0	0	2	3	1	1	2	1	4	11	28	45	84	172	317
VI. Diseases of the nervous system	O M	53	0	0	0	1	0	0	0	1	0	1	1	5	6	11	11	16
VI. Diseases of the nervous system	O F	79	0	0	0	0	0	1	0	0	0	1	1	3	6	10	25	32
VII. Diseases of the eye and adnexa	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIII. Diseases of the ear and mastoid process	TOTAL	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
VIII. Diseases of the ear and mastoid process	W M	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
IX. Diseases of the circulatory system	TOTAL	25129	0	0	2	17	6	6	6	13	23	126	462	1426	3224	4997	6153	8406
IX. Diseases of the circulatory system	W M	9803	0	0	0	4	0	2	0	3	4	42	153	598	1390	2215	2619	2742
IX. Diseases of the circulatory system	W F	9264	0	0	0	2	0	3	1	2	4	23	83	293	680	1351	2251	4398
IX. Diseases of the circulatory system	B M	2763	0	0	2	3	3	0	2	8	6	29	116	282	662	754	556	335
IX. Diseases of the circulatory system	B F	2717	0	0	0	6	2	0	1	0	7	23	81	194	382	553	600	819
IX. Diseases of the circulatory system	O M	311	0	0	0	1	1	1	1	0	2	5	19	43	70	71	63	33
IX. Diseases of the circulatory system	O F	271	0	0	0	1	0	0	1	0	0	4	10	16	40	53	64	79
X. Diseases of the respiratory system	TOTAL	9339	2	2	2	21	7	2	6	5	11	38	105	361	1103	2229	2765	2610
X. Diseases of the respiratory system	W M	3776	0	0	0	4	3	0	0	1	2	7	33	112	426	1009	1184	975
X. Diseases of the respiratory system	W F	4121	0	0	0	5	2	0	1	0	3	9	29	152	425	869	1243	1341
X. Diseases of the respiratory system	B M	649	1	1	1	6	2	1	3	2	3	11	15	47	107	186	146	117
X. Diseases of the respiratory system	B F	630	0	0	0	5	0	0	1	2	2	10	22	43	115	129	152	141
X. Diseases of the respiratory system	O M	86	1	1	1	1	0	0	1	0	1	0	5	5	21	17	22	12
X. Diseases of the respiratory system	O F	77	0	0	0	0	0	1	0	0	0	1	1	2	9	19	18	24
XI. Diseases of the digestive system	TOTAL	3518	0	0	2	12	2	1	2	8	4	51	126	397	809	760	694	635
XI. Diseases of the digestive system	W M	1527	0	0	0	3	1	0	1	4	2	25	46	208	394	342	283	215
XI. Diseases of the digestive system	W F	1295	0	0	1	2	0	0	1	1	2	14	48	94	220	267	299	339
XI. Diseases of the digestive system	B M	323	0	0	0	3	0	0	0	2	0	5	14	51	103	83	39	22
XI. Diseases of the digestive system	B F	249	0	0	0	2	1	0	0	1	0	4	8	18	61	43	57	49
XI. Diseases of the digestive system	O M	61	0	0	0	1	0	0	0	0	0	2	7	13	20	13	2	3
XI. Diseases of the digestive system	O F	63	0	0	1	1	0	1	0	0	0	1	3	13	11	12	14	7
XII. Diseases of the skin and subcutaneous tissue	TOTAL	171	0	0	0	0	0	0	0	0	1	4	2	12	31	33	35	50
XII. Diseases of the skin and subcutaneous tissue	W M	53	0	0	0	0	0	0	0	0	1	0	2	3	15	8	10	14
XII. Diseases of the skin and subcutaneous tissue	W F	72	0	0	0	0	0	0	0	0	0	3	0	3	9	12	17	28
XII. Diseases of the skin and subcutaneous tissue	B M	15	0	0	0	0	0	0	0	0	0	0	0	3	3	6	0	3
XII. Diseases of the skin and subcutaneous tissue	B F	28	0	0	0	0	0	0	0	0	0	1	0	3	4	7	6	4
XII. Diseases of the skin and subcutaneous tissue	O F	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
XIII. Diseases of the musculoskeletal system and connective tissue	TOTAL	504	0	0	0	0	0	1	0	1	2	16	16	39	91	117	113	102
XIII. Diseases of the musculoskeletal system and connective tissue	W M	141	0	0	0	0	0	0	0	0	0	4	2	9	27	34	39	25
XIII. Diseases of the musculoskeletal system and connective tissue	W F	215	0	0	0	0	0	1	0	0	0	2	4	10	35	47	54	59
XIII. Diseases of the musculoskeletal system and connective tissue	B M	52	0	0	0	0	0	0	0	0	0	4	3	7	15	16	3	4
XIII. Diseases of the musculoskeletal system and connective tissue	B F	81	0	0	0	0	0	0	0	1	1	5	6	11	12	15	15	13
XIII. Diseases of the musculoskeletal system and connective tissue	O M	5	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0
XIII. Diseases of the musculoskeletal system and connective tissue	O F	10	0	0	0	0	0	0	0	0	1	0	1	2	1	3	1	1
XIV. Diseases of the genitourinary system	TOTAL	2769	0	1	2	3	2	1	0	2	0	7	36	125	328	606	799	841
XIV. Diseases of the genitourinary system	W M	852	0	0	0	0	0	0	0	0	0	1	10	35	91	183	269	256
XIV. Diseases of the genitourinary system	W F	1036	0	0	1	1	2	0	0	0	0	2	9	25	91	197	291	410
XIV. Diseases of the genitourinary system	B M	381	0	1	1	2	0	0	0	1	0	2	7	30	79	116	98	46
XIV. Diseases of the genitourinary system	B F	433	0	0	0	0	0	0	0	1	0	2	9	27	55	93	121	121
XIV. Diseases of the genitourinary system	O M	39	0	0	0	0	0	1	0	0	0	0	1	5	7	12	10	3
XIV. Diseases of the genitourinary system	O F	28	0	0	0	0	0	0	0	0	0	0	0	3	5	5	10	5
XV. Pregnancy, childbirth and the puerperium	TOTAL	38	0	0	0	0	0	0	0	2	6	16	11	3	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	W F	19	0	0	0	0	0	0	0	0	3	8	7	1	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	B F	15	0	0	0	0	0	0	0	2	3	5	3	2	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	O F	4	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	TOTAL	453	319	383	435	450	2	0	0	0	0	1	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W M	91	61	75	88	90	1	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W F	79	55	63	74	78	0	0	0	0	0	1	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B M	122	88	109	119	122	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B F	98	71	78	92	97	1	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B U	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O M	30	19	27	29	30	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O F	31	23	29	31	31	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	TOTAL	341	78	101	122	166	17	10	9	3	5	18	18	18	38	27	9	3
XVII. Congenital malformations, deformations and chromosomal abnormalities	W M	101	14	17	21	36	4	5	2	0	2	4	7	6	18	12	4	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	W F	97	18	23	28	41	3	2	4	1	0	3	6	9	13	11	3	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	B M	50	13	18	23	27	3	2	2	1	1	5	2	2	2	1	1	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	B F	54	14	21	27	33	5	1	0	0	1	2	2	1	5	3	1	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O M	23	11	12	13	18	1	0	0	0	1	2	1	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O F	16	8	10	10	11	1	0	1	1	0	2	0	0	0	0	0	0
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	TOTAL	728	3	5	14	118	5	2	3	4	18	39	52	57	84	74	108	148
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W M	238	0	0	0	30	0	0	1	2	7	16	25	21	32	29	33	41
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W F	272	0	1	5	32	1	0	1	1	3	7	14	20	22	29	46	84
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B M	109	0	0	3	26	3	0	1	1	4	12	6	11	18	5	16	5
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B F	78	3	4	5	22	1	1	0	0	0	3	2	4	10	10	11	12
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O M	14	0	0	1	3	0	0	0	0	2	1	5	0	0	0	0	3
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O F	17	0	0	0	5	0	1	0	0	2	0	0	1	2	1	2	3
XIX. External causes of morbidity	TOTAL	7804	0	1	6	47	51	36	54	297	577	1248	1112	1177	1013	715	679	782
XIX. External causes of morbidity	W M	3745	0	1	4	16	18	15	21	121	257	605	553	588	527	383	348	291
XIX. External causes of morbidity	W F	2160	0	0	2	7	11	3	12	51	96	242	270	333	243	206	255	419
XIX. External causes of morbidity	B M	1102	0	0	0	10	13	7	8	80	137	254	176	148	142	71	35	21
XIX. External causes of morbidity	B F	405	0	0	0	12	4	7	7	22	28	61	49	51	58	36	34	34
XIX. External causes of morbidity	O M	277	0	0	0	1	1	1	5	17	41	65	50	44	32	10	3	7
XIX. External causes of morbidity	O F	113	0	0	0	1	4	3	1	6	18	21	12	13	11	9	4	10
XIX. External causes of morbidity	O U	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
