Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
XII. Diseases of the skin and subcutaneous tissue	W F	60	0	0	0	0	0	0	0	0	0	0	0	4	8	9	13	26
XII. Diseases of the skin and subcutaneous tissue	B M	17	0	0	0	0	0	0	0	0	0	0	0	3	2	5	3	4
XII. Diseases of the skin and subcutaneous tissue	B F	23	0	0	0	0	0	0	0	0	0	0	0	4	5	5	6	3
XII. Diseases of the skin and subcutaneous tissue	O M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
XII. Diseases of the skin and subcutaneous tissue	O F	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
XIII. Diseases of the musculoskeletal system and connective tissue	TOTAL	498	0	0	0	0	0	0	1	1	8	8	18	35	64	96	118	149
XIII. Diseases of the musculoskeletal system and connective tissue	W M	117	0	0	0	0	0	0	0	0	1	3	4	9	14	28	30	28
XIII. Diseases of the musculoskeletal system and connective tissue	W F	249	0	0	0	0	0	0	0	0	1	3	7	7	24	46	68	93
XIII. Diseases of the musculoskeletal system and connective tissue	B M	43	0	0	0	0	0	0	1	1	2	0	0	6	13	5	9	6
XIII. Diseases of the musculoskeletal system and connective tissue	B F	83	0	0	0	0	0	0	0	0	3	2	6	11	12	17	10	22
XIII. Diseases of the musculoskeletal system and connective tissue	O M	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
XIII. Diseases of the musculoskeletal system and connective tissue	O F	3	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
XIV. Diseases of the genitourinary system	TOTAL	2290	0	0	0	0	0	1	0	0	1	10	40	103	256	414	677	788
XIV. Diseases of the genitourinary system	W M	736	0	0	0	0	0	1	0	0	0	3	15	27	67	140	242	241
XIV. Diseases of the genitourinary system	W F	836	0	0	0	0	0	0	0	0	0	3	8	11	68	119	252	375
XIV. Diseases of the genitourinary system	B M	290	0	0	0	0	0	0	0	0	1	2	7	26	61	75	72	46
XIV. Diseases of the genitourinary system	B F	396	0	0	0	0	0	0	0	0	0	2	9	35	55	73	102	120
XIV. Diseases of the genitourinary system	O M	21	0	0	0	0	0	0	0	0	0	0	1	2	5	5	4	4
XIV. Diseases of the genitourinary system	O F	11	0	0	0	0	0	0	0	0	0	0	0	2	0	2	5	2
XV. Pregnancy, childbirth and the puerperium	TOTAL	10	0	0	0	0	0	0	0	0	3	1	6	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	W F	7	0	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	B F	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	TOTAL	438	325	370	411	437	0	0	0	0	0	0	0	1	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W M	95	60	73	85	95	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W F	85	59	75	80	85	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B M	139	113	120	132	138	0	0	0	0	0	0	0	1	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B F	96	76	85	92	96	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O M	13	10	10	13	13	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O F	10	7	7	9	10	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	TOTAL	327	66	94	127	182	13	6	3	4	8	14	11	20	28	20	11	7
XVII. Congenital malformations, deformations and chromosomal abnormalities	W M	112	20	28	42	60	3	0	2	2	1	4	4	11	13	7	4	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	W F	110	19	32	38	54	5	2	0	1	3	6	3	5	14	9	4	4
XVII. Congenital malformations, deformations and chromosomal abnormalities	W U	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	B M	51	13	15	19	28	3	3	0	1	3	2	2	2	1	2	3	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	B F	39	7	11	18	29	2	1	1	0	0	1	1	1	0	2	0	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	O M	5	2	2	4	4	0	0	0	0	1	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O F	9	4	5	5	6	0	0	0	0	0	1	1	1	0	0	0	0
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	TOTAL	731	5	7	23	121	10	1	1	7	14	30	50	55	86	68	84	204
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W M	272	3	4	13	43	4	1	1	5	8	18	16	38	33	24	34	47
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W F	269	0	0	3	22	2	0	0	0	2	6	15	8	30	27	32	125
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B M	92	1	1	3	32	3	0	0	0	3	1	8	5	13	8	12	7
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B F	79	1	2	3	15	0	0	0	2	1	4	7	4	9	7	6	24
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O M	17	0	0	1	9	1	0	0	0	0	1	3	0	1	1	0	1
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O F	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
XIX. External causes of morbidity	TOTAL	6261	0	0	5	51	55	33	62	221	485	864	820	1110	814	511	602	633
XIX. External causes of morbidity	W M	3266	0	0	3	10	16	12	30	111	265	467	455	634	452	279	289	246
XIX. External causes of morbidity	W F	1778	0	0	1	12	18	5	11	43	63	179	198	300	222	142	237	348
XIX. External causes of morbidity	B M	795	0	0	1	15	13	11	12	47	114	155	103	115	95	60	41	14
XIX. External causes of morbidity	B F	265	0	0	0	10	6	2	4	10	24	38	33	34	32	18	31	23
XIX. External causes of morbidity	O M	107	0	0	0	2	1	2	1	6	17	17	20	20	9	10	1	1
XIX. External causes of morbidity	O F	50	0	0	0	2	1	1	4	4	2	8	11	7	4	2	3	1
