Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years 	65 to 74 years	75 to 84 years	85 years and over
X. Diseases of the respiratory system	TOTAL	8779	1	1	1	21	13	10	10	6	12	36	94	362	941	1969	2772	2533
X. Diseases of the respiratory system	W M	3503	0	0	0	8	4	0	1	1	4	13	23	108	371	854	1211	905
X. Diseases of the respiratory system	W F	4038	0	0	0	4	2	1	4	2	3	10	37	157	372	839	1234	1373
X. Diseases of the respiratory system	B M	562	1	1	1	4	3	5	4	1	4	6	15	47	96	134	145	98
X. Diseases of the respiratory system	B F	555	0	0	0	4	4	3	1	2	1	6	15	42	79	117	147	134
X. Diseases of the respiratory system	O M	65	0	0	0	1	0	0	0	0	0	1	3	4	15	11	20	10
X. Diseases of the respiratory system	O F	56	0	0	0	0	0	1	0	0	0	0	1	4	8	14	15	13
XI. Diseases of the digestive system	TOTAL	3265	2	2	2	6	0	1	2	3	4	45	126	436	695	665	654	628
XI. Diseases of the digestive system	W M	1380	1	1	1	3	0	0	1	1	0	18	69	225	352	300	245	166
XI. Diseases of the digestive system	W F	1249	1	1	1	1	0	0	1	1	2	13	32	120	167	232	311	369
XI. Diseases of the digestive system	B M	307	0	0	0	0	0	1	0	1	0	11	7	54	94	76	40	23
XI. Diseases of the digestive system	B F	265	0	0	0	2	0	0	0	0	2	3	15	30	58	40	50	65
XI. Diseases of the digestive system	O M	36	0	0	0	0	0	0	0	0	0	0	2	4	17	8	5	0
XI. Diseases of the digestive system	O F	28	0	0	0	0	0	0	0	0	0	0	1	3	7	9	3	5
XII. Diseases of the skin and subcutaneous tissue	TOTAL	147	0	0	0	0	0	0	0	0	1	1	6	11	19	33	36	40
XII. Diseases of the skin and subcutaneous tissue	W M	32	0	0	0	0	0	0	0	0	0	0	3	3	7	9	8	2
XII. Diseases of the skin and subcutaneous tissue	W F	66	0	0	0	0	0	0	0	0	1	1	2	4	4	10	18	26
XII. Diseases of the skin and subcutaneous tissue	B M	15	0	0	0	0	0	0	0	0	0	0	0	1	4	6	2	2
XII. Diseases of the skin and subcutaneous tissue	B F	29	0	0	0	0	0	0	0	0	0	0	1	2	4	5	7	10
XII. Diseases of the skin and subcutaneous tissue	O M	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
XII. Diseases of the skin and subcutaneous tissue	O F	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
XIII. Diseases of the musculoskeletal system and connective tissue	TOTAL	516	0	0	0	1	1	0	1	3	1	6	17	35	80	97	132	142
XIII. Diseases of the musculoskeletal system and connective tissue	W M	124	0	0	0	0	1	0	0	1	1	0	4	8	20	28	30	31
XIII. Diseases of the musculoskeletal system and connective tissue	W F	239	0	0	0	0	0	0	1	0	0	1	3	6	25	47	71	85
XIII. Diseases of the musculoskeletal system and connective tissue	B M	48	0	0	0	0	0	0	0	0	0	0	4	6	13	6	12	7
XIII. Diseases of the musculoskeletal system and connective tissue	B F	94	0	0	0	1	0	0	0	1	0	5	6	14	21	13	17	16
XIII. Diseases of the musculoskeletal system and connective tissue	O M	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
XIII. Diseases of the musculoskeletal system and connective tissue	O F	8	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	2
XIV. Diseases of the genitourinary system	TOTAL	2395	0	1	2	3	3	1	1	0	5	16	33	104	273	461	698	797
XIV. Diseases of the genitourinary system	W M	779	0	0	0	1	0	0	1	0	3	1	8	29	78	161	253	244
XIV. Diseases of the genitourinary system	W F	895	0	0	0	0	0	0	0	0	1	2	5	32	74	134	266	381
XIV. Diseases of the genitourinary system	B M	305	0	1	2	2	1	0	0	0	1	7	7	23	62	80	74	48
XIV. Diseases of the genitourinary system	B F	387	0	0	0	0	2	1	0	0	0	6	12	18	55	81	96	116
XIV. Diseases of the genitourinary system	O M	9	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	1
XIV. Diseases of the genitourinary system	O F	20	0	0	0	0	0	0	0	0	0	0	1	1	3	3	5	7
XV. Pregnancy, childbirth and the puerperium	TOTAL	15	0	0	0	0	0	0	0	1	3	4	5	2	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	W F	7	0	0	0	0	0	0	0	1	1	3	1	1	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	B F	7	0	0	0	0	0	0	0	0	2	1	3	1	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	O F	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	TOTAL	476	339	404	450	469	4	0	1	0	0	0	0	2	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W M	135	87	113	126	131	2	0	1	0	0	0	0	1	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W F	82	59	68	77	80	1	0	0	0	0	0	0	1	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W U	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B M	132	95	114	128	132	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B F	110	85	95	103	109	1	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O M	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O F	7	3	4	6	7	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	TOTAL	283	67	90	108	141	11	3	7	2	3	21	18	22	27	15	5	8
XVII. Congenital malformations, deformations and chromosomal abnormalities	W M	100	25	31	38	50	3	0	3	2	1	8	4	6	14	5	2	2
XVII. Congenital malformations, deformations and chromosomal abnormalities	W F	90	18	24	31	36	4	3	2	0	1	7	9	10	7	5	3	3
XVII. Congenital malformations, deformations and chromosomal abnormalities	B M	41	12	15	16	25	1	0	1	0	1	4	2	2	3	2	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	B F	32	5	8	10	12	2	0	1	0	0	2	2	4	3	3	0	3
XVII. Congenital malformations, deformations and chromosomal abnormalities	O M	12	3	7	8	11	0	0	0	0	0	0	1	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O F	8	4	5	5	7	1	0	0	0	0	0	0	0	0	0	0	0
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	TOTAL	604	2	4	16	100	9	1	4	8	7	48	46	56	66	50	71	138
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W M	186	0	2	7	34	1	1	2	2	2	20	19	21	24	17	19	24
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W F	246	1	1	5	23	2	0	1	2	4	14	16	21	20	16	31	96
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B M	75	0	0	2	20	4	0	1	2	0	5	5	7	10	10	6	5
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B F	78	0	0	1	16	0	0	0	2	1	8	4	6	11	5	14	11
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O M	9	0	0	0	3	1	0	0	0	0	0	1	0	1	2	1	0
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O F	10	1	1	1	4	1	0	0	0	0	1	1	1	0	0	0	2
XIX. External causes of morbidity	TOTAL	6297	1	1	3	40	60	30	46	224	458	839	852	1079	835	560	584	690
XIX. External causes of morbidity	W M	3205	0	0	1	15	25	12	16	106	227	429	439	615	461	313	285	262
XIX. External causes of morbidity	W F	1740	0	0	1	9	13	10	16	23	56	152	226	277	209	157	227	365
XIX. External causes of morbidity	B M	875	0	0	0	8	10	6	8	72	125	189	120	121	104	54	40	18
XIX. External causes of morbidity	B F	313	1	1	1	6	9	2	4	10	28	37	43	39	45	28	22	40
XIX. External causes of morbidity	O M	114	0	0	0	2	3	0	2	12	15	20	13	21	11	3	9	3
XIX. External causes of morbidity	O F	50	0	0	0	0	0	0	0	1	7	12	11	6	5	5	1	2
