Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	TOTAL	386	1	1	1	1	0	0	2	1	4	6	19	45	59	84	82	83
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W M	103	0	0	0	0	0	0	0	0	2	0	2	7	13	27	29	23
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W F	127	0	0	0	0	0	0	0	1	0	0	3	10	11	30	33	39
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B M	57	0	0	0	0	0	0	2	0	1	4	5	11	12	9	7	6
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B F	90	1	1	1	1	0	0	0	0	1	2	8	15	22	17	10	14
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O M	6	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O F	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
IV. Endocrine, nutritional and metabolic diseases	TOTAL	4721	1	1	3	6	5	2	3	7	14	60	136	401	846	1220	1079	920
IV. Endocrine, nutritional and metabolic diseases	W M	1735	0	0	0	1	1	1	0	4	2	9	52	156	324	507	394	280
IV. Endocrine, nutritional and metabolic diseases	W F	1460	0	0	0	1	1	0	0	2	5	15	29	91	196	326	375	409
IV. Endocrine, nutritional and metabolic diseases	B M	683	1	1	1	1	1	1	2	0	4	16	22	79	161	199	126	69
IV. Endocrine, nutritional and metabolic diseases	B F	717	0	0	1	2	0	0	0	1	2	18	27	60	137	162	155	147
IV. Endocrine, nutritional and metabolic diseases	O M	73	0	0	1	1	2	0	1	0	0	2	5	9	18	15	14	6
IV. Endocrine, nutritional and metabolic diseases	O F	53	0	0	0	0	0	0	0	0	1	0	1	6	10	11	15	9
V. Mental, Behavioral and Neurodevelopmental disorders	TOTAL	5214	0	0	0	0	0	0	0	2	11	33	42	92	240	454	1297	2912
V. Mental, Behavioral and Neurodevelopmental disorders	W M	1477	0	0	0	0	0	0	0	0	3	21	22	45	112	169	414	677
V. Mental, Behavioral and Neurodevelopmental disorders	W F	2719	0	0	0	0	0	0	0	2	6	11	13	28	58	153	589	1769
V. Mental, Behavioral and Neurodevelopmental disorders	B M	373	0	0	0	0	0	0	0	0	2	0	2	11	52	78	110	117
V. Mental, Behavioral and Neurodevelopmental disorders	B F	568	0	0	0	0	0	0	0	0	0	0	1	5	10	48	163	315
V. Mental, Behavioral and Neurodevelopmental disorders	O M	40	0	0	0	0	0	0	0	0	0	1	3	3	4	5	9	15
V. Mental, Behavioral and Neurodevelopmental disorders	O F	37	0	0	0	0	0	0	0	0	0	0	1	0	4	1	12	19
VI. Diseases of the nervous system	TOTAL	7347	1	1	4	14	7	6	5	11	16	42	74	186	429	958	2173	3320
VI. Diseases of the nervous system	W M	2422	1	1	1	5	1	0	1	2	6	16	22	62	162	388	833	914
VI. Diseases of the nervous system	W F	3563	0	0	1	4	0	0	3	5	3	8	15	59	139	343	969	1944
VI. Diseases of the nervous system	B M	440	0	0	1	2	3	3	0	1	4	8	18	31	62	93	119	94
VI. Diseases of the nervous system	B F	760	0	0	0	1	2	2	1	1	2	9	16	26	51	110	188	329
VI. Diseases of the nervous system	O M	77	0	0	1	1	0	1	0	2	0	1	3	5	9	11	30	14
VI. Diseases of the nervous system	O F	85	0	0	0	1	1	0	0	0	1	0	0	3	6	13	34	25
VII. Diseases of the eye and adnexa	TOTAL	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
VII. Diseases of the eye and adnexa	W M	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
VIII. Diseases of the ear and mastoid process	TOTAL	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
VIII. Diseases of the ear and mastoid process	W M	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
VIII. Diseases of the ear and mastoid process	W F	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
IX. Diseases of the circulatory system	TOTAL	25811	0	2	2	17	9	8	8	13	23	147	443	1405	3323	5062	6366	8683
IX. Diseases of the circulatory system	W M	10173	0	1	1	8	2	1	0	3	6	44	156	598	1501	2262	2697	2853
IX. Diseases of the circulatory system	W F	9583	0	1	1	3	4	1	2	1	4	32	71	256	692	1393	2385	4551
IX. Diseases of the circulatory system	B M	2763	0	0	0	3	1	3	4	4	10	37	114	291	640	747	522	379
IX. Diseases of the circulatory system	B F	2691	0	0	0	3	1	2	1	3	0	22	68	204	397	535	617	777
IX. Diseases of the circulatory system	O M	324	0	0	0	0	1	1	1	1	2	8	21	41	62	77	66	41
IX. Diseases of the circulatory system	O F	277	0	0	0	0	0	0	0	1	1	4	13	15	31	48	79	82
X. Diseases of the respiratory system	TOTAL	9978	0	0	1	17	6	11	8	11	19	48	100	338	1170	2445	2948	2776
X. Diseases of the respiratory system	W M	3967	0	0	0	2	1	2	3	4	4	15	25	117	476	1017	1216	1070
X. Diseases of the respiratory system	W F	4466	0	0	0	1	0	4	1	1	5	16	31	122	455	1017	1356	1404
X. Diseases of the respiratory system	B M	657	0	0	0	4	1	2	1	4	5	5	20	38	103	203	154	114
X. Diseases of the respiratory system	B F	696	0	0	0	6	2	2	3	1	2	10	18	47	113	166	167	150
X. Diseases of the respiratory system	O M	98	0	0	0	3	1	0	0	1	3	1	3	4	13	27	27	15
X. Diseases of the respiratory system	O F	94	0	0	1	1	1	1	0	0	0	1	3	10	10	15	28	23
XI. Diseases of the digestive system	TOTAL	3606	0	0	2	6	1	0	2	0	6	38	154	437	820	837	684	605
XI. Diseases of the digestive system	W M	1462	0	0	1	1	0	0	1	0	1	15	58	190	358	370	268	195
XI. Diseases of the digestive system	W F	1400	0	0	0	0	0	0	0	0	1	12	50	151	239	310	298	329
XI. Diseases of the digestive system	B M	329	0	0	0	1	0	0	1	0	2	2	15	38	133	73	43	21
XI. Diseases of the digestive system	B F	295	0	0	1	2	1	0	0	0	1	3	17	36	68	58	57	51
XI. Diseases of the digestive system	O M	70	0	0	0	2	0	0	0	0	0	5	6	16	14	15	9	3
XI. Diseases of the digestive system	O F	50	0	0	0	0	0	0	0	0	1	1	8	6	8	11	9	6
XII. Diseases of the skin and subcutaneous tissue	TOTAL	175	0	0	0	0	0	0	0	0	1	0	5	12	34	31	43	48
XII. Diseases of the skin and subcutaneous tissue	W M	46	0	0	0	0	0	0	0	0	0	0	1	4	10	9	9	13
XII. Diseases of the skin and subcutaneous tissue	W F	76	0	0	0	0	0	0	0	0	0	0	1	4	10	10	25	25
XII. Diseases of the skin and subcutaneous tissue	B M	17	0	0	0	0	0	0	0	0	1	0	1	1	5	4	4	1
XII. Diseases of the skin and subcutaneous tissue	B F	33	0	0	0	0	0	0	0	0	0	0	1	3	9	6	5	9
XII. Diseases of the skin and subcutaneous tissue	O M	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
XII. Diseases of the skin and subcutaneous tissue	O F	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
XIII. Diseases of the musculoskeletal system and connective tissue	TOTAL	489	0	0	0	0	1	0	0	2	1	14	15	30	72	112	114	121
XIII. Diseases of the musculoskeletal system and connective tissue	W M	131	0	0	0	0	1	0	0	0	0	1	1	4	29	29	33	31
XIII. Diseases of the musculoskeletal system and connective tissue	W F	202	0	0	0	0	0	0	0	0	0	1	5	11	20	42	53	68
XIII. Diseases of the musculoskeletal system and connective tissue	B M	58	0	0	0	0	0	0	0	2	0	5	0	4	12	16	12	7
XIII. Diseases of the musculoskeletal system and connective tissue	B F	82	0	0	0	0	0	0	0	0	1	5	9	8	10	19	15	12
XIII. Diseases of the musculoskeletal system and connective tissue	O M	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1
XIII. Diseases of the musculoskeletal system and connective tissue	O F	12	0	0	0	0	0	0	0	0	0	1	0	3	0	6	0	2
XIV. Diseases of the genitourinary system	TOTAL	2888	0	1	4	7	1	0	0	1	1	18	40	128	326	639	862	835
XIV. Diseases of the genitourinary system	W M	880	0	0	0	0	1	0	0	0	0	6	9	26	83	218	262	268
XIV. Diseases of the genitourinary system	W F	1051	0	0	1	3	0	0	0	1	1	5	12	27	76	210	329	372
XIV. Diseases of the genitourinary system	B M	387	0	0	1	2	0	0	0	0	0	4	10	43	79	90	101	56
XIV. Diseases of the genitourinary system	B F	485	0	0	1	1	0	0	0	0	0	2	7	26	77	95	142	129
XIV. Diseases of the genitourinary system	O M	34	0	0	0	0	0	0	0	0	0	1	1	6	7	10	7	2
XIV. Diseases of the genitourinary system	O F	51	0	1	1	1	0	0	0	0	0	0	1	0	4	16	21	8
XV. Pregnancy, childbirth and the puerperium	TOTAL	27	0	0	0	0	0	0	0	1	0	18	8	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	W F	11	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	B F	14	0	0	0	0	0	0	0	1	0	8	5	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	O F	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	TOTAL	462	307	373	439	458	1	0	1	0	0	0	0	0	2	0	0	0
XVI. Certain conditions originating in the perinatal period	W M	97	58	77	90	96	0	0	0	0	0	0	0	0	1	0	0	0
XVI. Certain conditions originating in the perinatal period	W F	85	53	70	79	83	0	0	1	0	0	0	0	0	1	0	0	0
XVI. Certain conditions originating in the perinatal period	B M	119	88	99	114	118	1	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B F	105	73	83	102	105	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O M	31	21	27	30	31	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O F	25	14	17	24	25	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	TOTAL	293	56	76	99	145	11	6	8	2	2	15	14	21	29	21	12	7
XVII. Congenital malformations, deformations and chromosomal abnormalities	W M	88	17	23	27	32	3	0	2	1	0	5	8	10	12	9	5	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	W F	87	15	19	25	36	0	2	3	0	1	5	0	8	12	9	6	5
XVII. Congenital malformations, deformations and chromosomal abnormalities	B M	42	9	12	14	23	4	1	3	0	0	2	3	3	3	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	B F	41	7	9	16	27	2	1	0	1	0	3	2	0	1	2	1	1
XVII. Congenital malformations, deformations and chromosomal abnormalities	O M	16	5	7	9	13	1	0	0	0	1	0	1	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O F	19	3	6	8	14	1	2	0	0	0	0	0	0	1	1	0	0
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	TOTAL	801	0	1	13	119	14	2	6	8	20	39	51	61	74	96	86	196
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W M	245	0	1	4	39	3	1	4	3	5	12	27	15	22	41	27	42
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W F	315	0	0	3	24	4	0	0	1	6	9	13	19	28	30	35	126
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B M	101	0	0	1	25	3	0	0	3	4	9	4	13	12	11	10	7
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B F	108	0	0	5	23	2	0	2	1	4	5	4	11	10	13	9	19
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O M	21	0	0	0	4	2	1	0	0	1	3	1	3	2	1	2	1
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O F	11	0	0	0	4	0	0	0	0	0	1	2	0	0	0	3	1
XIX. External causes of morbidity	TOTAL	8522	0	1	3	40	53	26	57	266	621	1448	1268	1254	1090	737	791	851
XIX. External causes of morbidity	W M	4242	0	0	1	15	16	6	25	103	296	748	655	663	571	390	396	357
XIX. External causes of morbidity	W F	2231	0	0	0	5	8	6	7	44	94	261	286	302	274	203	297	430
XIX. External causes of morbidity	B M	1219	0	0	1	7	13	3	12	75	147	279	206	181	158	84	43	11
XIX. External causes of morbidity	B F	426	0	1	1	11	11	6	6	14	32	69	41	55	52	48	34	42
XIX. External causes of morbidity	O M	282	0	0	0	1	2	2	4	20	40	71	58	38	27	5	12	2
XIX. External causes of morbidity	O F	122	0	0	0	1	3	3	3	10	12	20	22	15	8	7	9	9
