Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
X. Diseases of the respiratory system	TOTAL	9377	0	0	0	12	6	7	6	2	19	34	94	329	1049	2215	2837	2695
X. Diseases of the respiratory system	W M	3815	0	0	0	5	3	0	1	2	6	6	35	115	432	968	1224	1003
X. Diseases of the respiratory system	W F	4238	0	0	0	0	0	2	0	0	3	10	20	141	369	920	1303	1428
X. Diseases of the respiratory system	B M	582	0	0	0	3	3	2	3	0	4	9	19	34	120	154	142	86
X. Diseases of the respiratory system	B F	575	0	0	0	2	0	2	1	0	6	7	13	30	111	128	124	139
X. Diseases of the respiratory system	O M	94	0	0	0	0	0	0	0	0	0	0	5	6	8	26	28	21
X. Diseases of the respiratory system	O F	73	0	0	0	2	0	1	1	0	0	2	2	3	9	19	16	18
XI. Diseases of the digestive system	TOTAL	3488	0	0	0	4	4	1	2	1	3	52	134	446	762	742	694	632
XI. Diseases of the digestive system	W M	1454	0	0	0	1	1	1	1	1	0	19	60	221	393	334	250	172
XI. Diseases of the digestive system	W F	1352	0	0	0	0	1	0	0	0	2	20	39	117	193	276	321	376
XI. Diseases of the digestive system	B M	287	0	0	0	0	1	0	1	0	1	4	13	42	91	68	41	25
XI. Diseases of the digestive system	B F	299	0	0	0	1	0	0	0	0	0	5	8	45	62	55	67	52
XI. Diseases of the digestive system	O M	55	0	0	0	1	1	0	0	0	0	3	11	13	16	3	4	3
XI. Diseases of the digestive system	O F	41	0	0	0	1	0	0	0	0	0	1	3	8	7	6	11	4
XII. Diseases of the skin and subcutaneous tissue	TOTAL	179	0	0	0	0	0	0	0	0	1	5	1	12	29	45	38	46
XII. Diseases of the skin and subcutaneous tissue	W M	52	0	0	0	0	0	0	0	0	1	0	1	6	4	12	15	13
XII. Diseases of the skin and subcutaneous tissue	W F	65	0	0	0	0	0	0	0	0	0	1	0	1	7	17	14	24
XII. Diseases of the skin and subcutaneous tissue	B M	21	0	0	0	0	0	0	0	0	0	2	0	1	7	5	3	3
XII. Diseases of the skin and subcutaneous tissue	B F	39	0	0	0	0	0	0	0	0	0	1	0	4	10	11	6	6
XII. Diseases of the skin and subcutaneous tissue	O M	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
XII. Diseases of the skin and subcutaneous tissue	O F	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
XIII. Diseases of the musculoskeletal system and connective tissue	TOTAL	543	0	0	1	1	0	0	0	1	3	8	15	53	72	129	133	127
XIII. Diseases of the musculoskeletal system and connective tissue	W M	160	0	0	0	0	0	0	0	0	1	3	3	12	19	47	41	34
XIII. Diseases of the musculoskeletal system and connective tissue	W F	237	0	0	0	0	0	0	0	1	0	1	2	21	24	45	62	81
XIII. Diseases of the musculoskeletal system and connective tissue	B M	52	0	0	0	0	0	0	0	0	0	0	2	5	11	18	13	3
XIII. Diseases of the musculoskeletal system and connective tissue	B F	82	0	0	1	1	0	0	0	0	2	2	6	12	16	17	16	9
XIII. Diseases of the musculoskeletal system and connective tissue	O M	6	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	0
XIII. Diseases of the musculoskeletal system and connective tissue	O F	6	0	0	0	0	0	0	0	0	0	2	0	2	0	1	1	0
XIV. Diseases of the genitourinary system	TOTAL	2586	0	2	5	6	2	1	2	1	4	11	47	125	283	540	728	819
XIV. Diseases of the genitourinary system	W M	860	0	1	2	2	1	0	0	1	1	2	7	28	98	175	271	271
XIV. Diseases of the genitourinary system	W F	885	0	0	0	1	1	1	1	0	0	3	12	33	58	173	245	348
XIV. Diseases of the genitourinary system	B M	367	0	1	3	3	0	0	1	0	1	1	11	37	70	97	82	64
XIV. Diseases of the genitourinary system	B F	415	0	0	0	0	0	0	0	0	1	3	14	25	55	76	113	123
XIV. Diseases of the genitourinary system	O M	30	0	0	0	0	0	0	0	0	1	1	1	2	2	8	10	5
XIV. Diseases of the genitourinary system	O F	29	0	0	0	0	0	0	0	0	0	1	2	0	0	11	7	8
XV. Pregnancy, childbirth and the puerperium	TOTAL	45	0	0	0	0	0	0	0	1	7	11	11	15	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	W F	23	0	0	0	0	0	0	0	0	3	7	4	9	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	B F	17	0	0	0	0	0	0	0	1	4	2	5	5	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	O F	5	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0
XVI. Certain conditions originating in the perinatal period	TOTAL	483	329	384	461	479	1	1	0	0	0	1	0	0	0	1	0	0
XVI. Certain conditions originating in the perinatal period	W M	106	65	80	101	105	0	0	0	0	0	0	0	0	0	1	0	0
XVI. Certain conditions originating in the perinatal period	W F	88	57	70	86	87	0	0	0	0	0	1	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B M	123	84	93	113	122	1	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B F	105	76	88	101	104	0	1	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O M	30	23	26	29	30	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O F	31	24	27	31	31	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	TOTAL	323	46	65	89	147	20	5	9	9	6	17	14	26	32	18	11	9
XVII. Congenital malformations, deformations and chromosomal abnormalities	W M	111	18	26	34	48	9	3	3	2	0	8	5	6	10	10	3	4
XVII. Congenital malformations, deformations and chromosomal abnormalities	W F	92	12	15	21	34	4	2	2	1	2	3	5	11	12	6	5	5
XVII. Congenital malformations, deformations and chromosomal abnormalities	B M	47	9	10	15	25	1	0	1	2	2	2	3	3	7	0	1	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	B F	45	1	4	7	21	4	0	3	2	1	3	0	6	2	1	2	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O M	17	4	7	8	12	1	0	0	2	0	0	0	0	1	1	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O F	11	2	3	4	7	1	0	0	0	1	1	1	0	0	0	0	0
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	TOTAL	697	2	4	16	127	11	2	2	4	12	33	46	50	75	97	79	144
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W M	225	0	1	6	42	5	0	1	1	8	14	13	26	29	36	24	25
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W F	284	1	2	5	35	4	1	0	0	1	9	27	14	23	36	37	89
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B M	87	0	0	2	26	0	1	0	2	1	4	3	5	17	14	7	6
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B F	72	1	1	2	17	1	0	1	1	2	5	0	4	3	6	8	19
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O M	12	0	0	0	4	1	0	0	0	0	1	2	0	2	1	0	1
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O F	17	0	0	1	3	0	0	0	0	0	0	1	1	1	4	3	4
XIX. External causes of morbidity	TOTAL	7161	0	0	3	39	60	26	35	241	504	1034	949	1168	925	663	707	789
XIX. External causes of morbidity	W M	3455	0	0	0	16	21	12	13	103	221	506	460	594	492	368	343	302
XIX. External causes of morbidity	W F	1988	0	0	2	4	12	5	8	45	78	193	219	306	248	179	272	405
XIX. External causes of morbidity	B M	1013	0	0	0	11	13	3	7	58	128	218	166	161	112	66	42	27
XIX. External causes of morbidity	B F	340	0	0	0	3	9	3	2	17	30	40	43	52	35	35	30	39
XIX. External causes of morbidity	O M	281	0	0	1	3	4	2	4	13	40	64	48	42	33	10	10	8
XIX. External causes of morbidity	O F	84	0	0	0	2	1	1	1	5	7	13	13	13	5	5	10	8
