Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
XII. Diseases of the skin and subcutaneous tissue	O M	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
XII. Diseases of the skin and subcutaneous tissue	O F	4	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0
XIII. Diseases of the musculoskeletal system and connective tissue	TOTAL	537	0	0	0	0	1	0	0	0	0	10	21	48	81	123	130	120
XIII. Diseases of the musculoskeletal system and connective tissue	W M	161	0	0	0	0	0	0	0	0	0	0	4	14	23	42	48	30
XIII. Diseases of the musculoskeletal system and connective tissue	W F	214	0	0	0	0	0	0	0	0	0	2	3	12	33	41	52	68
XIII. Diseases of the musculoskeletal system and connective tissue	B M	53	0	0	0	0	1	0	0	0	0	1	4	6	11	13	14	3
XIII. Diseases of the musculoskeletal system and connective tissue	B F	93	0	0	0	0	0	0	0	0	0	6	8	16	12	20	14	17
XIII. Diseases of the musculoskeletal system and connective tissue	O M	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
XIII. Diseases of the musculoskeletal system and connective tissue	O F	13	0	0	0	0	0	0	0	0	0	1	1	0	1	7	1	2
XIV. Diseases of the genitourinary system	TOTAL	2677	0	1	4	6	0	0	0	1	3	12	38	108	314	620	827	729
XIV. Diseases of the genitourinary system	W M	890	0	0	0	0	0	0	0	1	2	1	10	23	97	188	313	253
XIV. Diseases of the genitourinary system	W F	905	0	1	3	3	0	0	0	0	0	3	12	26	72	194	263	317
XIV. Diseases of the genitourinary system	B M	407	0	0	1	2	0	0	0	0	1	4	9	32	69	129	113	48
XIV. Diseases of the genitourinary system	B F	398	0	0	0	1	0	0	0	0	0	4	6	22	63	89	111	100
XIV. Diseases of the genitourinary system	O M	38	0	0	0	0	0	0	0	0	0	0	1	5	4	12	13	3
XIV. Diseases of the genitourinary system	O F	39	0	0	0	0	0	0	0	0	0	0	0	0	9	8	14	8
XV. Pregnancy, childbirth and the puerperium	TOTAL	22	0	0	0	0	0	0	0	0	4	9	9	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	W F	10	0	0	0	0	0	0	0	0	2	5	3	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	B F	10	0	0	0	0	0	0	0	0	2	3	5	0	0	0	0	0
XV. Pregnancy, childbirth and the puerperium	O F	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	TOTAL	411	263	325	387	408	2	1	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W M	88	54	72	83	87	0	1	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	W F	64	42	48	60	64	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B M	128	89	102	123	128	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	B F	79	49	62	74	77	2	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O M	31	19	26	30	31	0	0	0	0	0	0	0	0	0	0	0	0
XVI. Certain conditions originating in the perinatal period	O F	21	10	15	17	21	0	0	0	0	0	0	0	0	0	0	0	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	TOTAL	290	54	69	94	140	13	9	7	3	4	10	11	20	32	17	16	8
XVII. Congenital malformations, deformations and chromosomal abnormalities	W M	101	20	23	30	35	3	2	0	2	2	4	4	7	21	11	7	3
XVII. Congenital malformations, deformations and chromosomal abnormalities	W F	73	9	14	25	37	1	2	2	0	0	3	2	7	9	5	3	2
XVII. Congenital malformations, deformations and chromosomal abnormalities	B M	45	9	12	15	27	1	0	4	0	0	1	3	3	0	1	2	3
XVII. Congenital malformations, deformations and chromosomal abnormalities	B F	37	7	8	10	19	3	5	0	1	0	1	2	2	2	0	2	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O M	18	6	7	7	13	2	0	0	0	0	1	0	1	0	0	1	0
XVII. Congenital malformations, deformations and chromosomal abnormalities	O F	16	3	5	7	9	3	0	1	0	2	0	0	0	0	0	1	0
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	TOTAL	759	2	3	12	122	8	2	1	7	11	41	52	44	81	90	96	187
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W M	275	0	1	4	47	4	0	0	3	7	14	26	12	34	37	39	51
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W F	259	0	0	2	18	1	0	0	2	0	12	13	16	21	28	36	98
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B M	89	0	0	1	27	2	0	1	1	2	7	3	9	11	12	6	8
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B F	87	1	1	1	19	0	2	0	0	0	6	6	4	10	9	10	20
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O M	23	0	0	2	6	0	0	0	1	2	2	2	1	2	3	2	2
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O F	26	1	1	2	5	1	0	0	0	0	0	2	2	3	1	3	8
XIX. External causes of morbidity	TOTAL	8485	1	1	3	46	49	31	50	256	588	1372	1197	1199	1186	789	811	886
XIX. External causes of morbidity	W M	4046	0	0	0	12	12	7	13	105	261	642	614	619	608	411	410	327
XIX. External causes of morbidity	W F	2277	0	0	0	5	9	4	9	34	81	280	263	301	280	221	294	479
XIX. External causes of morbidity	B M	1283	1	1	2	19	9	13	10	64	146	292	180	182	194	98	54	22
XIX. External causes of morbidity	B F	446	0	0	1	6	7	4	8	19	35	67	58	48	59	47	45	40
XIX. External causes of morbidity	O M	310	0	0	0	1	7	2	1	27	51	72	65	36	31	7	3	7
XIX. External causes of morbidity	O F	123	0	0	0	3	5	1	9	7	14	19	17	13	14	5	5	11
