Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	TOTAL	664	3	5	14	135	7	3	2	5	13	44	53	79	74	45	65	120
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W M	224	0	1	2	30	1	1	2	1	5	14	27	27	29	24	28	34
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	W F	232	2	3	4	30	3	0	0	1	2	14	16	26	27	7	27	66
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B M	81	0	0	2	35	2	0	0	2	3	10	3	8	10	2	3	2
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	B F	90	1	1	5	29	1	2	0	1	1	3	5	10	7	10	5	13
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O M	20	0	0	1	5	0	0	0	0	1	2	1	6	1	1	2	1
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O F	16	0	0	0	6	0	0	0	0	1	1	0	2	0	1	0	4
XVIII. Symptoms, signs and abnormal clinical and laboratory findings, NEC	O U	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
XIX. External causes of morbidity	TOTAL	6606	0	1	6	29	62	26	50	260	460	921	888	1026	893	611	644	725
XIX. External causes of morbidity	W M	3216	0	0	2	5	17	8	20	110	233	442	428	515	493	348	315	281
XIX. External causes of morbidity	W F	1812	0	0	1	7	10	5	11	46	63	173	224	271	215	160	241	378
XIX. External causes of morbidity	B M	925	0	1	2	4	20	9	10	70	107	192	136	128	123	68	40	18
XIX. External causes of morbidity	B F	322	0	0	1	8	12	4	6	15	25	35	40	54	37	18	35	31
XIX. External causes of morbidity	O M	246	0	0	0	2	2	0	3	16	26	65	44	40	22	13	6	7
XIX. External causes of morbidity	O F	85	0	0	0	3	1	0	0	3	6	14	16	18	3	4	7	10
